Artist_Name,Track_Name,Class,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Mode,Liveness,Valence,Tempo_bpm,Duration_ms,Time_Signature
Bruno Mars,That's What I Like (feat. Gucci Mane),5,HipHop,60.0,0.854,0.564,-4.964,0.0485,0.0171,1,0.0849,0.899,134.071,234596.0,4
Boston,Hitch a Ride,10,Rock,54.0,0.382,0.814,-7.23,0.0406,0.0011,1,0.101,0.569,116.454,251733.0,4
The Raincoats,No Side to Fall In,6,Indie,35.0,0.434,0.614,-8.334,0.0525,0.486,1,0.394,0.787,147.681,109667.0,4
Deno,Lingo (feat. J.I & Chunkz),5,HipHop,66.0,0.853,0.597,-6.528,0.0555,0.0212,0,0.122,0.569,107.033,173968.0,4
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,10,Rock,53.0,0.167,0.975,-4.279,0.216,0.000169,1,0.172,0.0918,199.06,229960.0,4
The Stooges,Search and Destroy - Iggy Pop Mix,6,Indie,53.0,0.235,0.977,0.878,0.107,0.00353,1,0.172,0.241,152.952,208133.0,4
Solomon Burke,None Of Us Are Free,2,Blues,48.0,0.674,0.658,-9.647,0.104,0.404,0,0.0981,0.677,143.292,329387.0,4
Randy Travis,On the Other Hand,4,Country,55.0,0.657,0.415,-9.915,0.025,0.175,1,0.132,0.347,96.03,3.105783333,4
Professional Murder Music,Slow,8,Metal,29.0,0.431,0.776,-5.403,0.0527,2.21e-05,1,0.179,0.318,120.857,237867.0,4
Dudu Aharon,"דודו, יאללה יאללה",9,Pop,14.0,0.716,0.885,-4.348,0.0333,0.0614,0,0.253,0.833,128.043,164093.0,4
Mohammed Rafi,Meri Dosti Mera Pyar,3,Bollywood,11.0,0.491,0.563,-8.588,0.0331,0.957,0,0.263,0.843,95.558,4.33045,4
Arctic Monkeys,The View From The Afternoon,10,Rock,59.0,0.387,0.922,-5.192,0.0674,0.00487,0,0.187,0.417,146.478,222947.0,4
Eyal Golan,קרובה אליי,9,Pop,34.0,0.585,0.381,-7.622,0.0463,0.435,0,0.126,0.322,143.876,206875.0,4
"Harald Lassen, Bram de Looze",How it feels pt. 2,7,Instrumental,34.0,0.462,0.374,-12.069,0.0331,0.949,0,0.131,0.174,122.939,4.44025,3
Buffalo Springfield,For What It's Worth,10,Rock,76.0,0.653,0.519,-10.164,0.0497,0.406,1,0.101,0.822,98.883,153693.0,4
Elmore James,Madison Blues,2,Blues,37.0,0.431,0.852,-6.522,0.0431,0.564,1,0.254,0.794,67.601,146800.0,4
Dudu Aharon,לא יכול בלעדייך,9,Pop,14.0,0.713,0.939,-3.609,0.0372,0.11,0,0.331,0.88,108.034,179320.0,4
Velvet Two Stripes,Drinks,10,Rock,31.0,0.564,0.801,-4.73,0.0473,0.00233,0,0.067,0.401,105.01,154293.0,4
Eden Ben Zaken,מנגינה,9,Pop,29.0,0.57,0.458,-5.935,0.0236,0.502,0,0.134,0.19,93.088,217529.0,4
DaBaby,Baby Sitter (feat. Offset),5,HipHop,70.0,0.852,0.73,-5.803,0.0579,0.0219,1,0.336,0.394,92.506,157693.0,4
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),6,Indie,48.0,0.347,0.411,-8.071,0.0414,0.0181,1,0.0975,0.395,171.991,283013.0,4
Clairmont The Second,intres-ting,1,Alt Music,44.0,0.796,0.441,-9.83,0.292,0.16,1,0.118,0.371,158.105,137872.0,4
Krankhead,Cut Throat,5,HipHop,29.0,0.805,0.448,-9.452,0.112,0.0602,1,0.113,0.775,160.018,138000.0,4
